title,animal,season,episode,copies,durationText,durationSeconds,videoId,url,mergedVideoIds
🍋 The Lost Lemon Shark 🦈,Lost Lemon Shark,1,,1,10:16,616,nlTsohfZXls,https://www.youtube.com/watch?v=nlTsohfZXls,
🍥 The Oarfish 🐉,Oarfish,1,,3,10:16,616,WiT783eelDU,https://www.youtube.com/watch?v=WiT783eelDU,XVAvCOEPcIM;NygQKodxvR0
🎐 The Jellyfish Bloom 🦦,Jellyfish Bloom,1,,2,10:16,616,FhUp2fa1amM,https://www.youtube.com/watch?v=FhUp2fa1amM,rIMWFak0leU
🏔️ The Walrus Chief 🦭,Walrus Chief,1,,1,10:16,616,YEWl52BPSRg,https://www.youtube.com/watch?v=YEWl52BPSRg,
🏖️ The Eel Ordeal 😼,Eel Ordeal,1,,2,10:15,615,knIfcSqi52s,https://www.youtube.com/watch?v=knIfcSqi52s,L3JG4QlEBkw
🏴‍☠️ The Amber Spyglass 🪙,Amber Spyglass,1,,1,10:16,616,tA2miLPnorg,https://www.youtube.com/watch?v=tA2miLPnorg,
🐋 The Mixed Up Whales 🐋,Mixed Up Whales,1,,1,10:15,615,GzW0ZFavL7Q,https://www.youtube.com/watch?v=GzW0ZFavL7Q,
🐋 The Narwhal 🧊,Narwhal,1,,1,10:15,615,cYVLF1-Udes,https://www.youtube.com/watch?v=cYVLF1-Udes,
🐚 The Hermit Crab 🦀,Hermit Crab,1,,2,10:16,616,1nzgjcKtPZE,https://www.youtube.com/watch?v=1nzgjcKtPZE,9XQniW1ACDs
🐟 The Lost Sardine School 🏫,Lost Sardine School,1,,1,10:16,616,VkvCpZk2pLg,https://www.youtube.com/watch?v=VkvCpZk2pLg,
🐢 The Giant Whirlpool 🌪️,Giant Whirlpool,1,,2,10:16,616,NoriVCavPZA,https://www.youtube.com/watch?v=NoriVCavPZA,#NAME?
👹 The Monster Map 🐋,Monster Map,1,,1,10:16,616,QEHFt7jUECM,https://www.youtube.com/watch?v=QEHFt7jUECM,
💨 The Flying Fish 🐟,Flying Fish,1,,2,10:15,615,I9hUZPqk5u4,https://www.youtube.com/watch?v=I9hUZPqk5u4,1_2F327oAHk
💨 The Speedy Sailfish 🐟,Speedy Sailfish,1,,2,10:15,615,OslqzwAULSw,https://www.youtube.com/watch?v=OslqzwAULSw,qombRngfDrM
🕷️ The Giant Spider Crab 🦀,Giant Spider Crab,1,,1,10:16,616,#NAME?,https://www.youtube.com/watch?v=-Z-wECdBX94,
😡 The Enemy Anemones 🪸,Enemy Anemones,1,,1,10:15,615,dszRgZLXXps,https://www.youtube.com/watch?v=dszRgZLXXps,
😱 The Enormous whale Shark 🦈,Enormous whale Shark,1,,1,10:16,616,QkYWlrygGBQ,https://www.youtube.com/watch?v=QkYWlrygGBQ,
🦀 The Crab and Urchin 🪸,Crab and Urchin,1,,1,10:15,615,bo-v2-M1Ik4,https://www.youtube.com/watch?v=bo-v2-M1Ik4,
🦠 The Snot Sea Cucumber 🐌,Snot Sea Cucumber,1,,1,10:16,616,FWX3DT-OqpE,https://www.youtube.com/watch?v=FWX3DT-OqpE,
🪸 The Great White Shark 🦈,Great White Shark,2,3,2,10:16,616,NmmlVfteguc,https://www.youtube.com/watch?v=NmmlVfteguc,SEhYiSK3Hmk
🥥 The Coconut Crabs 🦀,Coconut Crabs,2,4,1,10:16,616,g6KrXOY9e7A,https://www.youtube.com/watch?v=g6KrXOY9e7A,
🦑 The Colossal Squid 💦,Colossal Squid,2,5,3,10:16,616,VDQeGi9-PEU,https://www.youtube.com/watch?v=VDQeGi9-PEU,uzH8KIt1YpM;gXj6Y02CHHM
😱 The Scared Sperm Whale 🐋,Scared Sperm Whale,2,10,3,10:16,616,1FGpxKpxGGo,https://www.youtube.com/watch?v=1FGpxKpxGGo,BA1M3ZoBgTI;R52lxx5yRY8
The Long-Armed Ghost Squid 👻 🦑,Long-Armed Ghost Squid,2,11,2,10:16,616,LDYCCRPM3mQ,https://www.youtube.com/watch?v=LDYCCRPM3mQ,-1BAiL5c0Uc
🏝️ The Fiddler Crabs 🦀,Fiddler Crabs,2,12,2,10:16,616,rO7UMSSCQ-Q,https://www.youtube.com/watch?v=rO7UMSSCQ-Q,Y3PAfk5Uy6s
🪸 The Manta Rays 🐠,Manta Rays,2,13,2,10:16,616,wjsSFDm6Joo,https://www.youtube.com/watch?v=wjsSFDm6Joo,jFpKXcxwt3I
🍃 The Leafy Sea Dragons 🐉,Leafy Sea Dragons,2,18,2,10:16,616,3CGWjkkuS6Y,https://www.youtube.com/watch?v=3CGWjkkuS6Y,_xz7InBoiMI
🐠 The Humphead Parrotfish 🪸,Humphead Parrotfish,2,18,3,10:16,616,t6qUYEvNBjs,https://www.youtube.com/watch?v=t6qUYEvNBjs,wrrTZGu_V9Y;92mwBoLSJyw
The Saltwater Crocodile 🐊❄️,Saltwater Crocodile,2,20,3,10:16,616,tqxHIHtudXw,https://www.youtube.com/watch?v=tqxHIHtudXw,K-j7WPSknNc;o3qqse9-gms
🪨 The Gulper Eels ✨,Gulper Eels,2,22,3,10:16,616,iLpYP42XXuo,https://www.youtube.com/watch?v=iLpYP42XXuo,wqTuR_b3qOI;4tV9l5dvGOU
🏴‍☠️ The Haunted Shipwreck ⚓️,Haunted Shipwreck,2,,1,10:16,616,j97z59qZHdk,https://www.youtube.com/watch?v=j97z59qZHdk,
😱 The Frightened Sperm Whale 🐳,Frightened Sperm Whale,2,,1,10:16,616,_4hiDETmITM,https://www.youtube.com/watch?v=_4hiDETmITM,
❄️ The Adelie Penguins 🐧,Adelie Penguins,2,,1,10:16,616,e_QJaESifRo,https://www.youtube.com/watch?v=e_QJaESifRo,
⚓️ The Giant Tentacle Ghost Squid 🦑,Giant Tentacle Ghost Squid,2,,1,10:16,616,IDdec-yWPn4,https://www.youtube.com/watch?v=IDdec-yWPn4,
🌀 The Sea Snakes 🐍,Sea Snakes,2,,1,10:16,616,lxAvykXUuRc,https://www.youtube.com/watch?v=lxAvykXUuRc,
🌊 The Manatees 🦭,Manatees,2,,2,10:16,616,Rg8kO7oucSY,https://www.youtube.com/watch?v=Rg8kO7oucSY,3RyUtbNptDA
🏴‍☠️ Kwazii's Mythic Sword Quest 🐠,Kwazii's Mythic Sword Quest,2,,1,10:16,616,r2eqORBhfj8,https://www.youtube.com/watch?v=r2eqORBhfj8,
🐋 The Bowhead Whales 🐋,Bowhead Whales,2,,1,10:16,616,5Q9e2f9eXNg,https://www.youtube.com/watch?v=5Q9e2f9eXNg,
🐋 The Porcupine Puffer Fish 🐡,Porcupine Puffer Fish,2,,1,10:16,616,WCwlFBnV45U,https://www.youtube.com/watch?v=WCwlFBnV45U,
🐙 The MIMIC Octopus 🐙,MIMIC Octopus,2,,2,10:16,616,p1lNd3KHGxo,https://www.youtube.com/watch?v=p1lNd3KHGxo,pR-U6FmWNho
🐟 Kwazii's Triggerfish Rescue!🌪️,Kwazii's Triggerfish Rescue!,2,,1,10:16,616,kDpq7nt32fg,https://www.youtube.com/watch?v=kDpq7nt32fg,
🥚 The Jawfish Baby Egg Chase 🐠,Jawfish Baby Egg Chase,2,,1,10:16,616,95yTMSNlW08,https://www.youtube.com/watch?v=95yTMSNlW08,
🥥 The Giant Coconut Crabs 🦀,Giant Coconut Crabs,2,,1,10:16,616,1gpLfG01Ju4,https://www.youtube.com/watch?v=1gpLfG01Ju4,
🦁 The Lionfish 🐠,Lionfish,2,,2,10:16,616,vA2sWtYP-5w,https://www.youtube.com/watch?v=vA2sWtYP-5w,Y1Q7e-QmHgQ
🪸 The Big Bad Great White Shark 🦈,Big Bad Great White Shark,2,,1,10:16,616,eg4zQLvdQq4,https://www.youtube.com/watch?v=eg4zQLvdQq4,
🪸 The Damsel Fish 🐠,Damsel Fish,2,,1,10:16,616,EKABKLHKCnk,https://www.youtube.com/watch?v=EKABKLHKCnk,
🪸 The Greedy Damsel Fish 🐠,Greedy Damsel Fish,2,,1,10:16,616,F6wkgFsD-Vw,https://www.youtube.com/watch?v=F6wkgFsD-Vw,
🐻 The Water Bears Rescue Mission ⛑️,Water Bears Rescue Mission,3,2,1,10:15,615,nlUnE6wmVS4,https://www.youtube.com/watch?v=nlUnE6wmVS4,
✨ The Elusive Yeti Crab 🦀,Elusive Yeti Crab,3,,1,10:16,616,txUGL2MOWg0,https://www.youtube.com/watch?v=txUGL2MOWg0,
✨ The Yeti Crab 🦀,Yeti Crab,3,,3,10:16,616,s-BYlG8KaZ8,https://www.youtube.com/watch?v=s-BYlG8KaZ8,dyaYOUnS5fc;X_7uP_VD3-Y
The Harbour Seal 🦭,Harbour Seal,3,,1,10:16,616,cSMR-S5YXWA,https://www.youtube.com/watch?v=cSMR-S5YXWA,
🌊 The Duck-Billed Platypus 🦆,Duck-Billed Platypus,3,,4,10:16,616,b8Rfloa5mEs,https://www.youtube.com/watch?v=b8Rfloa5mEs,6Py2ITJwuf0;hPUZ-c2Tg50;GikVpWnJs2o
🌊 The Humpback Whales 🐋,Humpback Whales,3,,3,10:16,616,nBEPqoY9BoY,https://www.youtube.com/watch?v=nBEPqoY9BoY,HC2PDBt4ID8;Vcnt6eDBtmw
🌊 The Loggerhead Sea Turtle 🐢,Loggerhead Sea Turtle,3,,3,10:16,616,iRUMOBJc4CE,https://www.youtube.com/watch?v=iRUMOBJc4CE,FahIAvdZoVI;eUFmly3P4NM
🌊 The Sea Pigs 🐷,Sea Pigs,3,,3,10:16,616,Ek7luevB3jA,https://www.youtube.com/watch?v=Ek7luevB3jA,WdOD_kmAihw;tW-iIJ9bALc
🌊 The Sea Skaters 🦗,Sea Skaters,3,,3,10:16,616,gYlSsondraU,https://www.youtube.com/watch?v=gYlSsondraU,MGN2wlRZKEg;zeGadKAgWYE
🌊 The Sea Sponge 🧽,Sea Sponge,3,,3,10:16,616,z_1wAXIajzY,https://www.youtube.com/watch?v=z_1wAXIajzY,MWZ-aJ3Sl3Q;AkcJ7pH2xAw
🏖️ The Red Rock Crabs 🦀,Red Rock Crabs,3,,3,10:16,616,oUSMfMc0GHI,https://www.youtube.com/watch?v=oUSMfMc0GHI,_vGxbvRmuno;oXj11MZaO8E
🐟 The Barracudas 🏝️,Barracudas,3,,4,10:16,616,3UiTW_V_1Lc,https://www.youtube.com/watch?v=3UiTW_V_1Lc,iym0kCLj3ZU;ggvUcl9kAfM;3NpotcGyoKM
🐠 The Artificial Coral Reef 🪸,Artificial Coral Reef,3,,2,10:16,616,UVQ0IePWUB8,https://www.youtube.com/watch?v=UVQ0IePWUB8,tDdQHhBp0WY
🐠 The Mudskippers 💦,Mudskippers,3,,3,10:16,616,NikyPOnstKw,https://www.youtube.com/watch?v=NikyPOnstKw,BC37r3OB45s;odDHv1TfF60
🐦 The Pelicans Sea Race 🌊,Pelicans Sea Race,3,,1,10:16,616,mHyEbdY_1rM,https://www.youtube.com/watch?v=mHyEbdY_1rM,
🔍 The Immortal Jellyfish 🪼,Immortal Jellyfish,3,,3,10:16,616,_Ha8JN_Hvak,https://www.youtube.com/watch?v=_Ha8JN_Hvak,ZiLWrw-1GM8;hoGb7M55OlI
😱  The Cone Snail Invasion 🐌,Cone Snail Invasion,3,,1,10:16,616,rca8knReFvw,https://www.youtube.com/watch?v=rca8knReFvw,
😱 The Venomous Cone Snail 🐌,Venomous Cone Snail,3,,1,10:16,616,-3HV_T4_kL0,https://www.youtube.com/watch?v=-3HV_T4_kL0,
🦁 The Lion's mane Jellyfish 🪼,Lion's mane Jellyfish,3,,3,10:16,616,_LUsQsUDd_4,https://www.youtube.com/watch?v=_LUsQsUDd_4,jnWaL2Rd0Vs;aNATXcfWDCA
🦦 The Urchin Invasion 🪸,Urchin Invasion,3,,2,10:16,616,5gemOCDOXQk,https://www.youtube.com/watch?v=5gemOCDOXQk,9g0Nj8RIpfg
🦪 The Hammerhead Sharks 🦈,Hammerhead Sharks,3,,2,10:16,616,zF0O2i8aG4g,https://www.youtube.com/watch?v=zF0O2i8aG4g,QZxLUmDmkmc
🪼The Siphonophore ✨,Siphonophore,3,,2,10:16,616,6tXAnGYGbKI,https://www.youtube.com/watch?v=6tXAnGYGbKI,bmA70Co4FtM
😱 The Mysterious Fossil Monster 🐟,Mysterious Fossil Monster,4,,1,10:16,616,_EunoMii0LU,https://www.youtube.com/watch?v=_EunoMii0LU,
☀️ The Sunfish 🐠,Sunfish,4,,1,10:16,616,BKuNeIn6VQ4,https://www.youtube.com/watch?v=BKuNeIn6VQ4,
❄️ The Hidden Lake 🧊,Hidden Lake,4,,2,10:16,616,zGAlMON-an8,https://www.youtube.com/watch?v=zGAlMON-an8,1fldmzPXIgk
✨ The Bomber Worms 🐛,Bomber Worms,4,,1,10:16,616,2GNm1R8kOZo,https://www.youtube.com/watch?v=2GNm1R8kOZo,
⛓️‍💥 The Operation Cooperation 🐠,Operation Cooperation,4,,1,10:16,616,PwLhFGYetxI,https://www.youtube.com/watch?v=PwLhFGYetxI,
🌀 The Spinner Dolphins 🐬,Spinner Dolphins,4,,1,10:16,616,aDhvh_fpxLM,https://www.youtube.com/watch?v=aDhvh_fpxLM,
🌊 The Loneliest Whale 🐋,Loneliest Whale,4,,2,10:16,616,cgiF9Owpk_4,https://www.youtube.com/watch?v=cgiF9Owpk_4,gEfqQApduzU
🌊 The Yellow Bellied Sea Snakes 🐍,Yellow Bellied Sea Snakes,4,,1,10:16,616,mbUIGhvd084,https://www.youtube.com/watch?v=mbUIGhvd084,
🌴 The Flamingos 🦩,Flamingos,4,,1,10:16,616,5WzzgWM6Tm8,https://www.youtube.com/watch?v=5WzzgWM6Tm8,
🌴 The Hippos 🦛,Hippos,4,,1,10:16,616,dBoiFin7Tx8,https://www.youtube.com/watch?v=dBoiFin7Tx8,
🌴 The Tree Lobsters 🦞,Tree Lobsters,4,,3,10:16,616,X3yvl3uzduM,https://www.youtube.com/watch?v=X3yvl3uzduM,BYum_cSWCc8;sUgut6qZFM0
🏄‍♀️  The Surfing Snails 🐌,Surfing Snails,4,,1,10:16,616,0rBpbiDQwLs,https://www.youtube.com/watch?v=0rBpbiDQwLs,
🏝️ The Baby Sea Turtles 🐢,Baby Sea Turtles,4,,3,10:16,616,OHDrN-ydISo,https://www.youtube.com/watch?v=OHDrN-ydISo,TlXC40_WLdE;e-HfR77J0W0
🐠 The Crawfish 🪸,Crawfish,4,,1,10:16,616,O5nJYHBJJnQ,https://www.youtube.com/watch?v=O5nJYHBJJnQ,
🐯 The Tiger Shark 🦈,Tiger Shark,4,,1,10:16,616,ElnDTvYXxJI,https://www.youtube.com/watch?v=ElnDTvYXxJI,
🐶 The Kelp Forest Mystery 🔍,Kelp Forest Mystery,4,,1,10:16,616,XNSrvaBAni4,https://www.youtube.com/watch?v=XNSrvaBAni4,
🐸 The Poison Dart Frogs 🌴,Poison Dart Frogs,4,,2,10:16,616,ZcTy8tm8p8g,https://www.youtube.com/watch?v=ZcTy8tm8p8g,99TMklBOfaw
😻 The Baby Gator 🐊,Baby Gator,4,,1,10:16,616,0-Jztp5iMJQ,https://www.youtube.com/watch?v=0-Jztp5iMJQ,
🦐 The Mantis Shrimp 🦐,Mantis Shrimp,4,,2,10:14,614,by2xLvpoq-I,https://www.youtube.com/watch?v=by2xLvpoq-I,itoPqgrjLZ4
🦑 The Octopod Mystery 🔍,Octopod Mystery,4,,2,10:16,616,IiwRQB_SSno,https://www.youtube.com/watch?v=IiwRQB_SSno,ok1Qg4t4m3o
🦭The Walrus Pups 🦭,Walrus Pups,4,,2,10:15,615,ychNpSxHG3k,https://www.youtube.com/watch?v=ychNpSxHG3k,EeG-4ovVSIc
🧊  The Emperor Penguins 🐧,Emperor Penguins,4,,2,10:16,616,bnD8gMn9Mbc,https://www.youtube.com/watch?v=bnD8gMn9Mbc,S7LmO6TtsHQ
🪨 The Coelacanth 🐟,Coelacanth,4,,1,10:16,616,MdyS-0vuWOw,https://www.youtube.com/watch?v=MdyS-0vuWOw,
🪸 The Convict Fish 🐠,Convict Fish,4,,2,10:16,616,ccKcM5zG_Rw,https://www.youtube.com/watch?v=ccKcM5zG_Rw,r79XcoNZHDw
Home of the Adelie Penguins 🐧,Home of the Adelie Penguins,,1,1,10:16,616,udl6DX0l6-U,https://www.youtube.com/watch?v=udl6DX0l6-U,
Lair of the Siphonophore,Lair of the Siphonophore,,1,1,10:16,616,Xf5wZHd_AXU,https://www.youtube.com/watch?v=Xf5wZHd_AXU,
The Lost Map of Treasure,Lost Map of Treasure,,1,1,10:00,600,#NAME?,https://www.youtube.com/watch?v=-pQ9cpgkv1I,
The Slippery Sea Snakes 🐍,Slippery Sea Snakes,,2,1,10:16,616,FryL-fQLiqs,https://www.youtube.com/watch?v=FryL-fQLiqs,
The Orca Whale Rescue,Orca Whale Rescue,,3,1,10:00,600,tOJYF2bYjzU,https://www.youtube.com/watch?v=tOJYF2bYjzU,
Into the Midnight Zone,Into the Midnight Zone,,4,1,10:01,601,rTk7xnzzKeE,https://www.youtube.com/watch?v=rTk7xnzzKeE,
The Lobster Thief,Lobster Thief,,5,1,10:00,600,2EdIUQkos-k,https://www.youtube.com/watch?v=2EdIUQkos-k,
The Elusive Giant Squid,Elusive Giant Squid,,6,1,10:01,601,tp_hBWsjviE,https://www.youtube.com/watch?v=tp_hBWsjviE,
Slippery Snot Cucumber,Slippery Snot Cucumber,,7,1,10:00,600,xQu3wfkfbl0,https://www.youtube.com/watch?v=xQu3wfkfbl0,
The Hostile Damsel Fish 🐠,Hostile Damsel Fish,,7,1,10:16,616,iMSuxHzK4DI,https://www.youtube.com/watch?v=iMSuxHzK4DI,
🫧 Bubble Booster Jetpacks 🚀,Bubble Booster Jetpacks,,8,1,10:16,616,Ku-zQGK30x4,https://www.youtube.com/watch?v=Ku-zQGK30x4,
The Porcupine Puffer Rescue Mission 🐡,Porcupine Puffer Rescue Mission,,9,1,10:16,616,NpCRJjuzFWQ,https://www.youtube.com/watch?v=NpCRJjuzFWQ,
The Great Storm,Great Storm,,9,1,10:00,600,h4IjfyGEEIo,https://www.youtube.com/watch?v=h4IjfyGEEIo,
The Shell Crabectomy,Shell Crabectomy,,12,1,10:00,600,xRISMsfhLIw,https://www.youtube.com/watch?v=xRISMsfhLIw,
Cave of the Remipedes,Cave of the Remipedes,,13,1,10:00,600,mQ3NNQZOtqg,https://www.youtube.com/watch?v=mQ3NNQZOtqg,
The Leatherback Sea Turtle,Leatherback Sea Turtle,,14,1,10:00,600,0xoaQjYVxIg,https://www.youtube.com/watch?v=0xoaQjYVxIg,
Two Blue Whales Collide,Two Blue Whales Collide,,16,1,10:00,600,UL5XvRbWYmk,https://www.youtube.com/watch?v=UL5XvRbWYmk,
The Carrier Crab & the Sea Urchin,Carrier Crab & the Sea Urchin,,18,1,10:00,600,Ug4QluSvEus,https://www.youtube.com/watch?v=Ug4QluSvEus,
The Mysterious Kelp Forest,Mysterious Kelp Forest,,19,1,10:00,600,PyF3H6Ersfc,https://www.youtube.com/watch?v=PyF3H6Ersfc,
The Arctic Narwhal,Arctic Narwhal,,20,1,10:00,600,x7P4vi_y0sI,https://www.youtube.com/watch?v=x7P4vi_y0sI,
Chasing the Flying Fish,Chasing the Flying Fish,,22,1,10:00,600,46s_vViF_LM,https://www.youtube.com/watch?v=46s_vViF_LM,
The Fiery Anemones,Fiery Anemones,,23,1,10:00,600,5Cf49ek4kq4,https://www.youtube.com/watch?v=5Cf49ek4kq4,
Sailing with Speedy Sailfish,Sailing with Speedy Sailfish,,24,1,10:00,600,aTUcehFAKg8,https://www.youtube.com/watch?v=aTUcehFAKg8,
The Slippery Slime Eels,Slippery Slime Eels,,26,1,10:00,600,WimtbR5j1EU,https://www.youtube.com/watch?v=WimtbR5j1EU,
The Mysterious Oar Fish,Mysterious Oar Fish,,28,1,10:00,600,7l9poCU7Df4,https://www.youtube.com/watch?v=7l9poCU7Df4,
Land of the Walruses,Land of the Walruses,,30,1,10:00,600,Iy_K6gLNWUk,https://www.youtube.com/watch?v=Iy_K6gLNWUk,
The Beautiful Seahorse Tale,Beautiful Seahorse Tale,,31,1,10:00,600,_Bnc7_J0TVc,https://www.youtube.com/watch?v=_Bnc7_J0TVc,
Surrounded by Jellyfish,Surrounded by Jellyfish,,36,1,10:00,600,OI79f_DFBdA,https://www.youtube.com/watch?v=OI79f_DFBdA,
The Migrating Eel,Migrating Eel,,37,1,10:00,600,Gal66gdcW8M,https://www.youtube.com/watch?v=Gal66gdcW8M,
The Brave Lemon Shark,Brave Lemon Shark,,42,1,10:16,616,P6-Q-s9qMQQ,https://www.youtube.com/watch?v=P6-Q-s9qMQQ,
The Spider Crabs,Spider Crabs,,45,1,10:00,600,yO-JLM4x8Z8,https://www.youtube.com/watch?v=yO-JLM4x8Z8,
Dashi to the Rescue!,Dashi to the Rescue!,,,1,10:00,600,7dygDaA7q7M,https://www.youtube.com/watch?v=7dygDaA7q7M,
Injured Hammerhead Shark,Injured Hammerhead Shark,,,1,10:02,602,eINUaPP10CY,https://www.youtube.com/watch?v=eINUaPP10CY,
Journey to the Emperor Penguins 🐧,Journey to the Emperor Penguins,,,1,10:15,615,EN8E5277IoI,https://www.youtube.com/watch?v=EN8E5277IoI,
